number,kimariji,kimariji_romaji,kimariji_number,kaminoku,shimonoku
1,あきの,akino,3,あきのたのかりほのいほのとまをあらみ,わがころもではつゆにぬれつつ
2,はるす,harusu,3,はるすぎてなつきにけらししろたへの,ころもほすてふあまのかぐやま
3,あし,ashi,2,あしびきのやまどりのをのしだりをの,ながながしよをひとりかもねむ
4,たご,tago,2,たごのうらにうちいでてみればしろたへの,ふじのたかねにゆきはふりつつ
5,おく,oku,2,おくやまにもみぢふみわけなくしかの,こゑきくときぞあきはかなしき
6,かさ,kasa,2,かささぎのわたせるはしにおくしもの,しろきをみればよぞふけにける
7,あまの,amano,3,あまのはらふりさけみればかすがなる,みかさのやまにいでしつきかも
8,わがい,wagai,3,わがいほはみやこのたつみしかぞすむ,よをうぢやまとひとはいふなり
9,はなの,hanano,3,はなのいろはうつりにけりないたづらに,わがみよにふるながめせしまに
10,これ,kore,2,これやこのいくもかへるもわかれては,しるもしらぬもあふさかのせき
11,わたのはらや,watanoharaya,6,わたのはらやそしまかけてこぎいでぬと,ひとにはつげよあまのつりぶね
12,あまつ,amatsu,3,あまつかぜくものかよひぢふきとぢよ,をとめのすがたしばしとどめむ
13,つく,tsuku,2,つくばねのみねよりおつるみなのがは,こひぞつもりてふちとなりぬる
14,みち,michi,2,みちのくのしのぶもぢずりたれゆゑに,みだれそめにしわれならなくに
15,きみがためは,kimigatameha,6,きみがためはるののにいでてわかなつむ,わがころもでにゆきはふりつつ
16,たち,tachi,2,たちわかれいなばのやまのみねにおふる,まつとしきかばいまかへりこむ
17,ちは,chiha,2,ちはやぶるかみよもきかずたつたがは,からくれなゐにみづくくるとは
18,す,su,1,すみのえのきしによるなみよるさへや,ゆめのかよひぢひとめよくらむ
19,なにはが,nanihaga,4,なにはがたみじかきあしのふしのまも,あはでこのよをすぐしてよとや
20,わび,wabi,2,わびぬればいまはたおなじなにはなる,みをつくしてもあはむとぞおもふ
21,いまこ,imako,3,いまこむといひしばかりにながつきの,ありあけのつきをまちいでつるかな
22,ふ,fu,1,ふくからにあきのくさきのしをるれば,むべやまかぜをあらしといふらむ
23,つき,tsuki,2,つきみればちぢにものこそかなしけれ,わがみひとつのあきにはあらねど
24,この,kono,2,このたびはぬさもとりあへずたむけやま,もみぢのにしきかみのまにまに
25,なにし,nanishi,3,なにしおはばあふさかやまのさねかづら,ひとにしられでくるよしもがな
26,をぐ,wogu,2,をぐらやまみねのもみぢばこころあらば,いまひとたびのみゆきまたなむ
27,みかの,mikano,3,みかのはらわきてながるるいづみがは,いつみきとてかこひしかるらむ
28,やまざ,yamaza,3,やまざとはふゆぞさびしさまさりける,ひとめもくさもかれぬとおもへば
29,こころあ,kokoroa,4,こころあてにをらばやをらむはつしもの,おきまどはせるしらぎくのはな
30,あら,ara,2,ありあけのつれなくみえしわかれより,あかつきばかりうきものはなし
31,あさぼらけあ,asaborakea,6,あさぼらけありあけのつきとみるまでに,よしののさとにふれるしらゆき
32,やまが,yamaga,3,やまがはにかぜのかけたるしがらみは,ながれもあへぬもみぢなりけり
33,ひさ,hisa,2,ひさかたのひかりのどけきはるのひに,しづこころなくはなのちるらむ
34,たれ,tare,2,たれをかもしるひとにせむたかさごの,まつもむかしのともならなくに
35,ひとは,hitoha,3,ひとはいさこころもしらずふるさとは,はなぞむかしのかににほひける
36,なつ,natsu,2,なつのよはまだよひながらあけぬるを,くものいづこにつきやどるらむ
37,しら,shira,2,しらつゆにかぜのふきしくあきののは,つらぬきとめぬたまぞちりける
38,わすら,wasura,3,わすらるるみをばおもはずちかひてし,ひとのいのちのをしくもあるかな
39,あさぢ,asaji,3,あさぢふのをののしのはらしのぶれど,あまりてなどかひとのこひしき
40,しの,shino,2,しのぶれどいろにいでにけりわがこひは,ものやおもふとひとのとふまで
41,こひ,kohi,2,こひすてふわがなはまだきたちにけり,ひとしれずこそおもひそめしか
42,ちぎりき,chigiriki,4,ちぎりきなかたみにそでをしぼりつつ,すゑのまつやまなみこさじとは
43,あひ,ahi,2,あひみてののちのこころにくらぶれば,むかしはものをおもはざりけり
44,あふこ,afuko,3,あふことのたえてしなくはなかなかに,ひとをもみをもうらみざらまし
45,あはれ,ahare,3,あはれともいふべきひとはおもほえで,みのいたづらになりぬべきかな
46,ゆら,yura,2,ゆらのとをわたるふなびとかぢをたえ,ゆくへもしらぬこひのみちかな
47,やへ,yahe,2,やへむぐらしげれるやどのさびしきに,ひとこそみえねあきはきにけり
48,かぜを,kazewo,3,かぜをいたみいはうつなみのおのれのみ,くだけてものをおもふころかな
49,みかき,mikaki,3,みかきもりゑじのたくひのよるはもえ,ひるはきえつつものをこそおもへ
50,きみがためお,kimigatameo,6,きみがためをしからざりしいのちさへ,ながくもがなとおもひけるかな
51,かく,kaku,2,かくとだにえやはいぶきのさしもぐさ,さしもしらじなもゆるおもひを
52,あけ,ake,2,あけぬればくるるものとはしりながら,なほうらめしきあさぼらけかな
53,なげき,nageki,3,なげきつつひとりねるよのあくるまは,いかにひさしきものとかはしる
54,わすれ,wasure,3,わすれじのゆくすゑまではかたければ,けふをかぎりのいのちともがな
55,たき,taki,2,たきのおとはたえてひさしくなりぬれど,なこそながれてなほきこえけれ
56,あらざ,araza,3,あらざらむこのよのほかのおもひでに,いまひとたびのあふこともがな
57,め,me,1,めぐりあひてみしやそれともわかぬまに,くもがくれにしよはのつきかな
58,ありま,arima,3,ありまやまゐなのささはらかぜふけば,いでそよひとをわすれやはする
59,やす,yasu,2,やすらはでねなましものをさよふけて,かたぶくまでのつきをみしかな
60,おおえ,ooe,3,おほえやまいくののみちのとほければ,まだふみもみずあまのはしだて
61,いに,ini,2,いにしへのならのみやこのやへざくら,けふここのへににほひぬるかな
62,よを,yowo,2,よをこめてとりのそらねははかるとも,よにあふさかのせきはゆるさじ
63,いまは,imaha,3,いまはただおもひたえなむとばかりを,ひとづてならでいふよしもがな
64,あさぼらけう,asaborakeu,6,あさぼらけうぢのかはぎりたえだえに,あらはれわたるせぜのあじろぎ
65,うら,ura,2,うらみわびほさぬそでだにあるものを,こひにくちなむなこそをしけれ
66,もろ,moro,2,もろともにあはれとおもへやまざくら,はなよりほかにしるひともなし
67,はるの,haruno,3,はるのよのゆめばかりなるたまくらに,かひなくたたむなこそをしけれ
68,こころに,kokoroni,4,こころにもあらでうきよにながらへば,こひしかるべきよはのつきかな
69,あらし,arashi,3,あらしふくみむろのやまのもみぢばは,たつたのかはのにしきなりけり
70,さ,sa,1,さびしさにやどをたちいでてながむれば,いづこもおなじあきのゆふぐれ
71,ゆふ,yufu,2,ゆふさればかどたのいなばおとづれて,あしのまろやにあきかぜぞふく
72,おと,oto,2,おとにきくたかしのはまのあだなみは,かけじやそでのぬれもこそすれ
73,たか,taka,2,たかさごのをのへのさくらさきにけり,とやまのかすみたたずもあらなむ
74,うか,uka,2,うかりけるひとをはつせのやまおろしよ,はげしかれとはいのらぬものを
75,ちぎりお,chigirio,4,ちぎりおきしさせもがつゆをいのちにて,あはれことしのあきもいぬめり
76,わたのはらこ,watanoharako,6,わたのはらこぎいでてみればひさかたの,くもゐにまがふおきつしらなみ
77,せ,se,1,せをはやみいはにせかるるたきがはの,われてもすゑにあはむとぞおもふ
78,あはぢ,ahaji,3,あはぢしまかよふちどりのなくこゑに,いくよねざめぬすまのせきもり
79,あきか,akika,3,あきかぜにたなびくくものたえまより,もれいづるつきのかげのさやけさ
80,ながか,nagaka,3,ながからむこころもしらずくろかみの,みだれてけさはものをこそおもへ
81,ほ,ho,1,ほととぎすなきつるかたをながむれば,ただありあけのつきぞのこれる
82,おも,omo,2,おもひわびさてもいのちはあるものを,うきにたへぬはなみだなりけり
83,よのなかよ,yononakayo,5,よのなかよみちこそなけれおもひいる,やまのおくにもしかぞなくなる
84,ながら,nagara,3,ながらへばまたこのごろやしのばれむ,うしとみしよぞいまはこひしき
85,よも,yomo,2,よもすがらものおもふころはあけやらで,ねやのひまさへつれなかりけり
86,なげけ,nageke,3,なげけとてつきやはものをおもはする,かこちがほなるわがなみだかな
87,む,mu,1,むらさめのつゆもまだひぬまきのはに,きりたちのぼるあきのゆふぐれ
88,なにはえ,nanihae,4,なにはえのあしのかりねのひとよゆゑ,みをつくしてやこひわたるべき
89,たま,tama,2,たまのをよたえなばたえねながらへば,しのぶることのよわりもぞする
90,みせ,mise,2,みせばやなをじまのあまのそでだにも,ぬれにぞぬれしいろはかはらず
91,きり,kiri,2,きりぎりすなくやしもよのさむしろに,ころもかたしきひとりかもねむ
92,わがそ,wagaso,3,わがそではしほひにみえぬおきのいしの,ひとこそしらねかわくまもなし
93,よのなかは,yononakaha,5,よのなかはつねにもがもななぎさこぐ,あまのをぶねのつなでかなしも
94,みよ,miyo,2,みよしののやまのあきかぜさよふけて,ふるさとさむくころもうつなり
95,おほけ,ohoke,3,おほけなくうきよのたみにおほふかな,わがたつそまにすみぞめのそで
96,はなさ,hanasa,3,はなさそふあらしのにはのゆきならで,ふりゆくものはわがみなりけり
97,こぬ,konu,2,こぬひとをまつほのうらのゆふなぎに,やくやもしほのみもこがれつつ
98,かぜそ,kazeso,3,かぜそよぐならのをがはのゆふぐれは,みそぎぞなつのしるしなりける
99,ひとも,hitomo,3,ひともをしひともうらめしあぢきなく,よをおもふゆゑにものおもふみは
100,もも,momo,2,ももしきやふるきのきばのしのぶにも,なほあまりあるむかしなりけり